,date,tank,speaker,treatment,settled,cup_position,spl,low_freq,mid_freq,high_freq,aci,adi,aei,larvae_cup
29.1,4-Mar,3,0,vessel,1,2,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
30,4-Mar,3,0,vessel,1,5,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
30.1,4-Mar,3,0,vessel,1,5,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
30.2,4-Mar,3,0,vessel,1,5,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
30.3,4-Mar,3,0,vessel,1,5,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
30.4,4-Mar,3,0,vessel,1,5,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
30.5,4-Mar,3,0,vessel,1,5,129.6155766,95.53833283,90.51077128,82.57314919,4231.407698,1.134443672,0.918318177,
31,4-Mar,4,2,reef + vessel,1,5,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
31.1,4-Mar,4,2,reef + vessel,1,5,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
31.2,4-Mar,4,2,reef + vessel,1,5,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
31.3,4-Mar,4,2,reef + vessel,1,5,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
31.4,4-Mar,4,2,reef + vessel,1,5,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
31.5,4-Mar,4,2,reef + vessel,1,5,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
31.6,4-Mar,4,2,reef + vessel,1,5,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
32,4-Mar,4,2,reef + vessel,1,1,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
32.1,4-Mar,4,2,reef + vessel,1,1,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
32.2,4-Mar,4,2,reef + vessel,1,1,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
32.3,4-Mar,4,2,reef + vessel,1,1,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
33,4-Mar,4,2,reef + vessel,1,4,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
33.1,4-Mar,4,2,reef + vessel,1,4,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
33.2,4-Mar,4,2,reef + vessel,1,4,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
33.3,4-Mar,4,2,reef + vessel,1,4,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
33.4,4-Mar,4,2,reef + vessel,1,4,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
33.5,4-Mar,4,2,reef + vessel,1,4,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
33.6,4-Mar,4,2,reef + vessel,1,4,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
33.7,4-Mar,4,2,reef + vessel,1,4,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
34,4-Mar,4,2,reef + vessel,1,3,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
34.1,4-Mar,4,2,reef + vessel,1,3,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
34.2,4-Mar,4,2,reef + vessel,1,3,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
34.3,4-Mar,4,2,reef + vessel,1,3,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
34.4,4-Mar,4,2,reef + vessel,1,3,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
34.5,4-Mar,4,2,reef + vessel,1,3,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
35,4-Mar,4,2,reef + vessel,1,2,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
35.1,4-Mar,4,2,reef + vessel,1,2,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
35.2,4-Mar,4,2,reef + vessel,1,2,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
35.3,4-Mar,4,2,reef + vessel,1,2,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
35.4,4-Mar,4,2,reef + vessel,1,2,120.5881935,87.32180958,81.36190535,69.75058971,4371.492031,1.053787894,0.936371264,
36,4-Mar,1,3,reef,1,4,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
36.1,4-Mar,1,3,reef,1,4,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
36.2,4-Mar,1,3,reef,1,4,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
36.3,4-Mar,1,3,reef,1,4,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
36.4,4-Mar,1,3,reef,1,4,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
36.5,4-Mar,1,3,reef,1,4,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
37,4-Mar,1,3,reef,1,5,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
